Gene	Fold_Change	geneid	Lcord	Rcord	pvaluesGlu	FDRGlu
aceK	-2.11200404225115	b4016	4218596	4220332	0.0252577894810317	0.0172878206795334
acpS	2.0650675450241	b2563	2700618	2700998	0.0120494964716152	0.0149634118140676
adhE	3.67478039525624	b1241	1295446	1298121	0.00376288082238785	0.00679889154511093
aldA	-2.12351540396689	b1415	1488232	1489671	0.0452633045402202	0.0159780069956989
appA	2.10349907783648	b0980	1040617	1041915	0.00659331045163725	0.010517335536725
argW	-2.8330928847389	b2348	2466309	2466383	0.00511962932837828	0.00863634900333909
arpA	-2.31836704873851	b4017	4220301	4222487	0.0294105933879798	0.0169886925364939
asnW	-2.15732862921846	b1984	2058027	2058102	0.0414854066124657	0.0161058618089725
azuC	261087.811420848	b4663	1987873	1987959	0.0153002756671612	0.0164312652945335
cbrB	2.1069394772633	b3716	3897506	3897973	0.0387825333764446	0.016428343336244
chaB	2.37490789889178	b1217	1272119	1272349	0.015031012311022	0.016326053643914
chiX	-3.17146232588071	b4585	507204	507287	0.0478382787446915	0.0159981881032898
cirA	2.29648870679318	b2155	2244778	2246769	0.022335732475765	0.0169290395390749
clpB	2.07139716649649	b2592	2731600	2734173	0.0126105042449681	0.0151183862898831
csgE	2.42251297187683	b1039	1102152	1102541	0.0211392033211852	0.0168249277373877
cspA	-2.94841132609869	b3556	3720049	3720261	0.0447479159274656	0.0160941132610598
cysC	2.20837233596914	b2750	2873387	2873992	0.0488511031145035	0.0158908404969237
dctA	-2.28547870858429	b3528	3682161	3683447	0.0131945263868706	0.0155256181621339
dgoA	3.8733396796596	b4477	3872995	3873612	0.00872382909080072	0.012456498855557
dinI	2.10122485897738	b1061	1121242	1121487	0.0233521347140415	0.0169577172276885
dmsB	2.36487740955453	b0895	943414	944031	0.0200171052464561	0.0168091411818893
dsrB	3.45614875932779	b1952	2024635	2024823	0.0291456536074031	0.0169641695415701
entA	3.35006302364559	b0596	628551	629297	0.00992776816959517	0.0135174166663668
entB	3.07312369648196	b0595	627694	628551	0.026484497364284	0.0171135389873301
entC	2.1932760366477	b0593	624885	626060	0.0132435183998252	0.0155353171392757
entD	2.1655082998576	b0583	609459	610079	0.0306933220720936	0.0168853772136951
entE	3.06726938786924	b0594	626070	627680	0.0123954289699392	0.0150498446875607
entF	2.82644552473549	b0586	614157	618038	0.00272205934751812	0.00503767880889048
entH	5.2301618375612	b0597	629300	629713	0.0223874575208599	0.0169345766250117
entS	2.31956721023134	b0591	622300	623550	0.0067075124228122	0.010566866601676
epd	2.96927743884837	b2927	3072672	3073691	0.00199676586650155	0.00384469646994891
etp	2.46336718206289	b0982	1044230	1044676	0.0330406910480759	0.0167062078854839
eutD	2.01597484553795	b2458	2572489	2573505	0.0289181020224806	0.0170135477701353
fadB	-2.06195438030054	b3846	4028782	4030971	0.0234429818033444	0.0169269625378593
fbaA	2.26315923979249	b2925	3070165	3071244	0.01465689670839	0.0162910100777638
fdrA	2.18164088267141	b0518	546680	548347	0.047617801507325	0.0160087119731419
feoA	2.83469185407603	b3408	3540163	3540390	0.0413140521851385	0.0161214215836296
fepA	3.55333079183192	b0584	610254	612494	0.0272424669830206	0.0170541172972331
fes	2.03283137377654	b0585	612737	613939	0.0284484089819163	0.0169995493766682
ffs	-5.1469319604842	b0455	476448	476561	0.0141142048510509	0.0159198811528607
fimA	3.61629838346208	b4314	4543115	4543663	0.0107011064499889	0.0141656432945348
fimC	2.41449224474469	b4316	4544304	4545029	0.0192117953248444	0.0167222205015733
fimD	2.35976834403026	b4317	4545096	4547732	0.0313429066364815	0.0167826052893533
fimI	2.75926860012266	b4315	4543728	4544267	0.0352983777187464	0.0164916721454604
fiu	2.46281598547641	b0805	839249	841531	0.00840841012794113	0.0122352458540522
fliF	-2.08273770955241	b1938	2013229	2014887	0.00858472042443092	0.0123503819082239
flu	46.5558465216896	b2000	2071539	2074658	0.00207842540978809	0.00396190951599362
fruA	96.1000612847512	b2167	2259719	2261410	0.00549651327492662	0.00915064914640135
fruB	147.792852991589	b2169	2262365	2263495	0.0107100572935233	0.0141284349527148
fruK	83.4400373182258	b2168	2261427	2262365	0.00788949539891382	0.0120312104538912
fucP	-2.38252156901022	b2801	2934235	2935551	0.0455578687324775	0.0159490795529669
gapC_1	-2.11656227509495	b1417	1489961	1490713	0.0183559552068285	0.016701792023362
garL	8.38230591159679	b3126	3272787	3273557	0.0211040456690422	0.0168673728137518
gatA	-2.40417833424528	b2094	2174597	2175049	0.0155795841141554	0.0163624879753209
gfcA	-2.50124323988314	b0987	1049439	1049744	0.0308069831359369	0.0168506437835397
